Accession,Description
Q8BLW8,Protein Gm26558 (Fragment) OS=Mus musculus GN=Gm26558 PE=2 SV=1 - [Q8BLW8_MOUSE]
A2A9Z5,Protein Gm53 OS=Mus musculus GN=Gm53 PE=4 SV=2 - [A2A9Z5_MOUSE]
L7N277,Protein Gm7942 OS=Mus musculus GN=Gm7942 PE=4 SV=1 - [L7N277_MOUSE]
E9PZP8,Protein Herc1 OS=Mus musculus GN=Herc1 PE=1 SV=1 - [E9PZP8_MOUSE]
Q8R1F6,Protein HID1 OS=Mus musculus GN=Hid1 PE=1 SV=1 - [HID1_MOUSE]
Q80VJ8,Protein KASH5 OS=Mus musculus GN=Ccdc155 PE=1 SV=3 - [KASH5_MOUSE]
Q4VA93,Protein kinase C OS=Mus musculus GN=Prkca PE=2 SV=1 - [Q4VA93_MOUSE]
D3YV40,Protein kinase C-binding protein NELL1 (Fragment) OS=Mus musculus GN=Nell1 PE=4 SV=1 - [D3YV40_MOUSE]
A2AGC3,Protein kish-B OS=Mus musculus GN=Tmem167b PE=4 SV=1 - [A2AGC3_MOUSE]
E9Q0F0,Protein Krt78 OS=Mus musculus GN=Krt78 PE=4 SV=1 - [E9Q0F0_MOUSE]
Q80TH2,Protein LAP2 OS=Mus musculus GN=Erbb2ip PE=1 SV=3 - [LAP2_MOUSE]
E9PYF4,Protein Lmo7 OS=Mus musculus GN=Lmo7 PE=1 SV=1 - [E9PYF4_MOUSE]
B1AWG4,Protein Lrrc37a (Fragment) OS=Mus musculus GN=Lrrc37a PE=4 SV=1 - [B1AWG4_MOUSE]
Q9D0R8,Protein LSM12 homolog OS=Mus musculus GN=Lsm12 PE=1 SV=1 - [LSM12_MOUSE]
Q8K2F8,Protein LSM14 homolog A OS=Mus musculus GN=Lsm14a PE=1 SV=1 - [LS14A_MOUSE]
Q0VBD2,Protein MCM10 homolog OS=Mus musculus GN=Mcm10 PE=2 SV=1 - [MCM10_MOUSE]
E0CZ22,Protein Mroh1 OS=Mus musculus GN=Mroh1 PE=4 SV=1 - [E0CZ22_MOUSE]
F8VQG7,Protein N4bp2 OS=Mus musculus GN=N4bp2 PE=4 SV=1 - [F8VQG7_MOUSE]
E9Q1W3,Protein Neb OS=Mus musculus GN=Neb PE=4 SV=1 - [E9Q1W3_MOUSE]
Q5DU56,Protein NLRC3 OS=Mus musculus GN=Nlrc3 PE=2 SV=2 - [NLRC3_MOUSE]
Q9EQQ9,Protein O-GlcNAcase OS=Mus musculus GN=Mgea5 PE=1 SV=2 - [OGA_MOUSE]
Q8BYB9,Protein O-glucosyltransferase 1 OS=Mus musculus GN=Poglut1 PE=1 SV=2 - [PGLT1_MOUSE]
A2ACY7,Protein Olfr1338 OS=Mus musculus GN=Olfr1338 PE=4 SV=1 - [A2ACY7_MOUSE]
Q8BHW2,Protein OSCP1 OS=Mus musculus GN=Oscp1 PE=2 SV=1 - [OSCP1_MOUSE]
Q9D0B6,Protein PBDC1 OS=Mus musculus GN=Pbdc1 PE=2 SV=1 - [PBDC1_MOUSE]
E9Q2S0,Protein Pcdh7 OS=Mus musculus GN=Pcdh7 PE=1 SV=2 - [E9Q2S0_MOUSE]
Q91XZ7,Protein Pcdhb3 OS=Mus musculus GN=Pcdhb3 PE=2 SV=1 - [Q91XZ7_MOUSE]
Q6DD96,Protein Pcdhga7 OS=Mus musculus GN=Pcdhga7 PE=2 SV=1 - [Q6DD96_MOUSE]
F6UFZ5,Protein Pcf11 (Fragment) OS=Mus musculus GN=Pcf11 PE=4 SV=1 - [F6UFZ5_MOUSE]
E9Q1M1,Protein Pdzd2 OS=Mus musculus GN=Pdzd2 PE=4 SV=1 - [E9Q1M1_MOUSE]
Q8VHQ3,Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Mus musculus GN=Ppp1r16b PE=2 SV=1 - [PP16B_MOUSE]
A6H644,Protein phosphatase 1 regulatory subunit 12 OS=Mus musculus GN=Ppp1r12b PE=2 SV=1 - [A6H644_MOUSE]
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A OS=Mus musculus GN=Ppp1r12a PE=1 SV=2 - [MYPT1_MOUSE]
Q3UMT1,Protein phosphatase 1 regulatory subunit 12C OS=Mus musculus GN=Ppp1r12c PE=1 SV=1 - [PP12C_MOUSE]
Q8R4S0,Protein phosphatase 1 regulatory subunit 14C OS=Mus musculus GN=Ppp1r14c PE=1 SV=1 - [PP14C_MOUSE]
E9Q6K3,Protein Pibf1 OS=Mus musculus GN=Pibf1 PE=4 SV=1 - [E9Q6K3_MOUSE]
J3QM92,Protein Plscr5 OS=Mus musculus GN=Plscr5 PE=4 SV=1 - [J3QM92_MOUSE]
D3Z1N4,Protein polybromo-1 OS=Mus musculus GN=Pbrm1 PE=1 SV=1 - [D3Z1N4_MOUSE]
H3BJD6,Protein Ppp1r9a OS=Mus musculus GN=Ppp1r9a PE=1 SV=1 - [H3BJD6_MOUSE]
Q9D4Z5,Protein Prame OS=Mus musculus GN=Prame PE=2 SV=1 - [Q9D4Z5_MOUSE]
E9PV26,Protein Prr36 OS=Mus musculus GN=Prr36 PE=1 SV=1 - [E9PV26_MOUSE]
Q3UPH1,Protein PRRC1 OS=Mus musculus GN=Prrc1 PE=2 SV=1 - [PRRC1_MOUSE]
Q7TSC1,Protein PRRC2A OS=Mus musculus GN=Prrc2a PE=1 SV=1 - [PRC2A_MOUSE]
Q52KR3,Protein prune homolog 2 OS=Mus musculus GN=Prune2 PE=2 SV=2 - [PRUN2_MOUSE]
Q811G0,Protein PTHB1 OS=Mus musculus GN=Bbs9 PE=1 SV=2 - [PTHB1_MOUSE]
V9GXR2,Protein Rhox3f (Fragment) OS=Mus musculus GN=Rhox3f PE=4 SV=1 - [V9GXR2_MOUSE]
P08207,Protein S100-A10 OS=Mus musculus GN=S100a10 PE=1 SV=2 - [S10AA_MOUSE]
Q9D708,Protein S100a16 OS=Mus musculus GN=S100a16 PE=2 SV=1 - [Q9D708_MOUSE]
P14069,Protein S100-A6 OS=Mus musculus GN=S100a6 PE=1 SV=3 - [S10A6_MOUSE]
E9Q796,Protein Scml2 OS=Mus musculus GN=Scml2 PE=4 SV=1 - [E9Q796_MOUSE]
Q80U72,Protein scribble homolog OS=Mus musculus GN=Scrib PE=1 SV=2 - [SCRIB_MOUSE]
G3X972,Protein Sec24c OS=Mus musculus GN=Sec24c PE=4 SV=1 - [G3X972_MOUSE]
Q9EQU5,Protein SET OS=Mus musculus GN=Set PE=1 SV=1 - [SET_MOUSE]
Q3UJB0,Protein Sf3b2 OS=Mus musculus GN=Sf3b2 PE=2 SV=1 - [Q3UJB0_MOUSE]
G3X9F6,Protein Sh3tc1 OS=Mus musculus GN=Sh3tc1 PE=4 SV=1 - [G3X9F6_MOUSE]
Q6V4S5,Protein sidekick-2 OS=Mus musculus GN=Sdk2 PE=2 SV=1 - [SDK2_MOUSE]
B1ARD8,Protein Slfn8 OS=Mus musculus GN=Slfn8 PE=4 SV=1 - [B1ARD8_MOUSE]
Q6NZL0,Protein SOGA3 OS=Mus musculus GN=Soga3 PE=2 SV=2 - [SOGA3_MOUSE]
Q8K004,Protein Spata2 OS=Mus musculus GN=Spata2 PE=2 SV=1 - [Q8K004_MOUSE]
K7N6S8,Protein Speer4e OS=Mus musculus GN=Speer4e PE=4 SV=1 - [K7N6S8_MOUSE]
Q8K1S6,Protein spire homolog 2 OS=Mus musculus GN=Spire2 PE=2 SV=1 - [SPIR2_MOUSE]
Q68FG2,Protein Sptbn2 OS=Mus musculus GN=Sptbn2 PE=2 SV=1 - [Q68FG2_MOUSE]
Q7TNB8,Protein strawberry notch homolog 2 OS=Mus musculus GN=Sbno2 PE=2 SV=1 - [SBNO2_MOUSE]
Q8BS30,Protein Svs2 OS=Mus musculus GN=Svs2 PE=2 SV=1 - [Q8BS30_MOUSE]
O35452,Protein Tnxb OS=Mus musculus GN=Tnxb PE=4 SV=1 - [O35452_MOUSE]
A2AA71,Protein transport protein Sec24A OS=Mus musculus GN=Sec24a PE=1 SV=1 - [A2AA71_MOUSE]
E9PWG2,Protein Trappc8 OS=Mus musculus GN=Trappc8 PE=1 SV=1 - [E9PWG2_MOUSE]
A0A075B646,Protein Trav15-1-dv6-1 OS=Mus musculus GN=Trav15-1-dv6-1 PE=4 SV=1 - [A0A075B646_MOUSE]
K9J7B2,Protein Ugt1a6b OS=Mus musculus GN=Ugt1a6b PE=3 SV=1 - [K9J7B2_MOUSE]
Q9Z1N9,Protein unc-13 homolog B OS=Mus musculus GN=Unc13b PE=2 SV=2 - [UN13B_MOUSE]
Q8CGY6,Protein unc-45 homolog B OS=Mus musculus GN=Unc45b PE=1 SV=1 - [UN45B_MOUSE]
Q8BLN6,Protein unc-80 homolog OS=Mus musculus GN=Unc80 PE=1 SV=2 - [UNC80_MOUSE]
Q8C0K8,Protein Uvrag OS=Mus musculus GN=Uvrag PE=2 SV=1 - [Q8C0K8_MOUSE]
Q8R2A8,Protein Vmn1r226 OS=Mus musculus GN=Vmn1r226 PE=2 SV=1 - [Q8R2A8_MOUSE]
E9Q280,Protein Vmn2r18 OS=Mus musculus GN=Vmn2r18 PE=4 SV=1 - [E9Q280_MOUSE]
L7N2E9,Protein Vmn2r2 OS=Mus musculus GN=Vmn2r2 PE=4 SV=1 - [L7N2E9_MOUSE]
E9Q107,Protein Vmn2r3 OS=Mus musculus GN=Vmn2r3 PE=4 SV=1 - [E9Q107_MOUSE]
Q80TR8,Protein VPRBP OS=Mus musculus GN=Vprbp PE=1 SV=4 - [VPRBP_MOUSE]
E9Q271,Protein Wdr17 OS=Mus musculus GN=Wdr17 PE=4 SV=2 - [E9Q271_MOUSE]
D3Z7A8,Protein Wdr95 OS=Mus musculus GN=Wdr95 PE=4 SV=1 - [D3Z7A8_MOUSE]
P48615,Protein Wnt-11 OS=Mus musculus GN=Wnt11 PE=2 SV=1 - [WNT11_MOUSE]
Q99K53,Protein Zfp111 OS=Mus musculus GN=Zfp111 PE=2 SV=1 - [Q99K53_MOUSE]
Q3UTF4,Protein Zfp114 OS=Mus musculus GN=Zfp114 PE=2 SV=1 - [Q3UTF4_MOUSE]
E9Q459,Protein Zfp160 OS=Mus musculus GN=Zfp160 PE=4 SV=1 - [E9Q459_MOUSE]
E9PXJ4,Protein Zfp712 OS=Mus musculus GN=Zfp712 PE=4 SV=1 - [E9PXJ4_MOUSE]
B1ARH2,Protein Zfp735 OS=Mus musculus GN=Zfp735 PE=4 SV=1 - [B1ARH2_MOUSE]
Q3UT76,Protein Zfp957 OS=Mus musculus GN=Zfp957 PE=2 SV=1 - [Q3UT76_MOUSE]
Q8K3V4,Protein-arginine deiminase type-6 OS=Mus musculus GN=Padi6 PE=1 SV=2 - [PADI6_MOUSE]
Q9DBQ7,Protein-associating with the carboxyl-terminal domain of ezrin OS=Mus musculus GN=Scyl3 PE=2 SV=3 - [PACE1_MOUSE]
Q8BHD8,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2 OS=Mus musculus GN=Pcmtd2 PE=2 SV=1 - [PCMD2_MOUSE]
E9Q0N2,Protein-tyrosine-phosphatase OS=Mus musculus GN=Ptprh PE=4 SV=1 - [E9Q0N2_MOUSE]
Q62361,Pro-thyrotropin-releasing hormone OS=Mus musculus GN=Trh PE=2 SV=2 - [TRH_MOUSE]
Q8BNA6,Protocadherin Fat 3 OS=Mus musculus GN=Fat3 PE=1 SV=2 - [FAT3_MOUSE]
P70339,Proto-oncogene FRAT1 OS=Mus musculus GN=Frat1 PE=1 SV=2 - [FRAT1_MOUSE]
Q78DX7,Proto-oncogene tyrosine-protein kinase ROS OS=Mus musculus GN=Ros1 PE=1 SV=1 - [ROS1_MOUSE]
Q9CZL5,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus GN=Pcbd2 PE=1 SV=2 - [PHS2_MOUSE]
P61458,Pterin-4-alpha-carbinolamine dehydratase OS=Mus musculus GN=Pcbd1 PE=1 SV=2 - [PHS_MOUSE]
Q543K9,Purine nucleoside phosphorylase OS=Mus musculus GN=Pnp PE=2 SV=1 - [Q543K9_MOUSE]
Q6W8Q3,Purkinje cell protein 4-like protein 1 OS=Mus musculus GN=Pcp4l1 PE=1 SV=1 - [PC4L1_MOUSE]
Q9EQ80,Putative GTP cyclohydrolase 1 type 2 Nif3l1 OS=Mus musculus GN=Nif3l1 PE=1 SV=4 - [GTPC1_MOUSE]
Q8R1F5,Putative hydroxypyruvate isomerase OS=Mus musculus GN=Hyi PE=1 SV=2 - [HYI_MOUSE]
Q14AW5,Putative methyltransferase NSUN7 OS=Mus musculus GN=Nsun7 PE=2 SV=2 - [NSUN7_MOUSE]
Q8JZV7,Putative N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus GN=Amdhd2 PE=2 SV=1 - [NAGA_MOUSE]
D3YYT1,Putative oxidoreductase GLYR1 OS=Mus musculus GN=Glyr1 PE=4 SV=1 - [D3YYT1_MOUSE]
Q8C4A5,Putative Polycomb group protein ASXL3 OS=Mus musculus GN=Asxl3 PE=2 SV=3 - [ASXL3_MOUSE]
Q6PHZ5,Putative RNA-binding protein 15B OS=Mus musculus GN=Rbm15b PE=1 SV=2 - [RB15B_MOUSE]
Q69Z61,PWWP domain-containing protein 2A OS=Mus musculus GN=Pwwp2a PE=2 SV=2 - [PWP2A_MOUSE]
Q91XF0,Pyridoxine-5'-phosphate oxidase OS=Mus musculus GN=Pnpo PE=1 SV=1 - [PNPO_MOUSE]
Q922Q4,Pyrroline-5-carboxylate reductase 2 OS=Mus musculus GN=Pycr2 PE=2 SV=1 - [P5CR2_MOUSE]
Q9DCC4,Pyrroline-5-carboxylate reductase 3 OS=Mus musculus GN=Pycrl PE=2 SV=2 - [P5CR3_MOUSE]
P35487,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial OS=Mus musculus GN=Pdha2 PE=2 SV=1 - [ODPAT_MOUSE]"
P47199,Quinone oxidoreductase OS=Mus musculus GN=Cryz PE=1 SV=1 - [QOR_MOUSE]
Q921W4,Quinone oxidoreductase-like protein 1 OS=Mus musculus GN=Cryzl1 PE=2 SV=1 - [QORL1_MOUSE]
Q8BSI6,R3H and coiled-coil domain-containing protein 1 OS=Mus musculus GN=R3hcc1 PE=2 SV=2 - [R3HC1_MOUSE]
Q9QXG2,Rab proteins geranylgeranyltransferase component A 1 OS=Mus musculus GN=Chm PE=2 SV=1 - [RAE1_MOUSE]
Q3TXV4,Rab22B OS=Mus musculus GN=Rab31 PE=2 SV=1 - [Q3TXV4_MOUSE]
Q80UJ7,Rab3 GTPase-activating protein catalytic subunit OS=Mus musculus GN=Rab3gap1 PE=2 SV=4 - [RB3GP_MOUSE]
Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit OS=Mus musculus GN=Rab3gap2 PE=1 SV=2 - [RBGPR_MOUSE]
Q68EF0,Rab-3A-interacting protein OS=Mus musculus GN=Rab3ip PE=1 SV=1 - [RAB3I_MOUSE]
Q60823,RAC-beta serine/threonine-protein kinase OS=Mus musculus GN=Akt2 PE=1 SV=1 - [AKT2_MOUSE]
Q8CDR2,Radial spoke head protein 6 homolog A OS=Mus musculus GN=Rsph6a PE=2 SV=1 - [RSH6A_MOUSE]
Q8CHX7,Raftlin-2 OS=Mus musculus GN=Rftn2 PE=2 SV=3 - [RFTN2_MOUSE]
O54916,RalBP1-associated Eps domain-containing protein 1 OS=Mus musculus GN=Reps1 PE=1 SV=2 - [REPS1_MOUSE]
A0A0A6YWG7,Rap guanine nucleotide exchange factor 2 OS=Mus musculus GN=Rapgef2 PE=4 SV=1 - [A0A0A6YWG7_MOUSE]
A2ALS4,Rap1 GTPase-activating protein 1 OS=Mus musculus GN=Rap1gap PE=4 SV=1 - [A2ALS4_MOUSE]
Q5SVL6,Rap1 GTPase-activating protein 2 OS=Mus musculus GN=Rap1gap2 PE=2 SV=1 - [RPGP2_MOUSE]
P97855,Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1 - [G3BP1_MOUSE]
Q01730,Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3 - [RSU1_MOUSE]
F6SEU4,Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus GN=Syngap1 PE=1 SV=2 - [SYGP1_MOUSE]
A0A0A6YVS6,Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus GN=Syngap1 PE=4 SV=1 - [A0A0A6YVS6_MOUSE]
Q3TLP8,"RAS-related C3 botulinum substrate 1, isoform CRA_a OS=Mus musculus GN=Rac1 PE=2 SV=1 - [Q3TLP8_MOUSE]"
P61027,Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1 - [RAB10_MOUSE]
P46638,Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3 - [RB11B_MOUSE]
Q91V41,Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3 - [RAB14_MOUSE]
P35295,Ras-related protein Rab-20 OS=Mus musculus GN=Rab20 PE=2 SV=2 - [RAB20_MOUSE]
P53994,Ras-related protein Rab-2A OS=Mus musculus GN=Rab2a PE=1 SV=1 - [RAB2A_MOUSE]
P35278,Ras-related protein Rab-5C OS=Mus musculus GN=Rab5c PE=1 SV=2 - [RAB5C_MOUSE]
P55258,Ras-related protein Rab-8A OS=Mus musculus GN=Rab8a PE=1 SV=2 - [RAB8A_MOUSE]
P63321,Ras-related protein Ral-A OS=Mus musculus GN=Rala PE=1 SV=1 - [RALA_MOUSE]
A2BDQ4,Receptor protein-tyrosine kinase OS=Mus musculus GN=Epha7 PE=4 SV=1 - [A2BDQ4_MOUSE]
B0V2N1,Receptor-type tyrosine-protein phosphatase S OS=Mus musculus GN=Ptprs PE=1 SV=1 - [PTPRS_MOUSE]
Q60673,Receptor-type tyrosine-protein phosphatase-like N OS=Mus musculus GN=Ptprn PE=1 SV=2 - [PTPRN_MOUSE]
D9HP81,Regulating synaptic membrane exocytosis 2 OS=Mus musculus GN=Rims2 PE=2 SV=1 - [D9HP81_MOUSE]
F6VBR4,Regulating synaptic membrane exocytosis protein 1 OS=Mus musculus GN=Rims1 PE=1 SV=2 - [F6VBR4_MOUSE]
Q99NE5,Regulating synaptic membrane exocytosis protein 1 OS=Mus musculus GN=Rims1 PE=1 SV=2 - [RIMS1_MOUSE]
Q9EQZ7,Regulating synaptic membrane exocytosis protein 2 OS=Mus musculus GN=Rims2 PE=1 SV=1 - [RIMS2_MOUSE]
Q9DBX1,Regulator of cell cycle RGCC OS=Mus musculus GN=Rgcc PE=1 SV=1 - [RGCC_MOUSE]
Q148R9,Regulator of G-protein signaling 9-binding protein OS=Mus musculus GN=Rgs9bp PE=1 SV=2 - [R9BP_MOUSE]
E9QNN3,Regulator of G-protein-signaling 11 OS=Mus musculus GN=Rgs11 PE=4 SV=1 - [E9QNN3_MOUSE]
A0A087WRN0,Regulator of G-protein-signaling 6 (Fragment) OS=Mus musculus GN=Rgs6 PE=4 SV=1 - [A0A087WRN0_MOUSE]
Q80XD3,Regulator of G-protein-signaling 7 OS=Mus musculus GN=Rgs7 PE=2 SV=1 - [Q80XD3_MOUSE]
Q9DCV4,Regulator of microtubule dynamics protein 1 OS=Mus musculus GN=Rmdn1 PE=1 SV=2 - [RMD1_MOUSE]
Q8K4Q0,Regulatory-associated protein of mTOR OS=Mus musculus GN=Rptor PE=1 SV=1 - [RPTOR_MOUSE]
Q8K2J7,RELT-like protein 1 OS=Mus musculus GN=Rell1 PE=2 SV=2 - [RELL1_MOUSE]
Q8BRJ3,RELT-like protein 2 OS=Mus musculus GN=Rell2 PE=2 SV=1 - [RELL2_MOUSE]
Q9CYN9,Renin receptor OS=Mus musculus GN=Atp6ap2 PE=2 SV=2 - [RENR_MOUSE]
Q6PCX7,Repulsive guidance molecule A OS=Mus musculus GN=Rgma PE=1 SV=1 - [RGMA_MOUSE]
Q8C796,REST corepressor 2 OS=Mus musculus GN=Rcor2 PE=2 SV=1 - [RCOR2_MOUSE]
Q8VH31,Ret finger protein-like 4A OS=Mus musculus GN=Rfpl4a PE=2 SV=1 - [RFPLA_MOUSE]
Q05186,Reticulocalbin-1 OS=Mus musculus GN=Rcn1 PE=1 SV=1 - [RCN1_MOUSE]
D3Z3A9,Reticulocalbin-3 (Fragment) OS=Mus musculus GN=Rcn3 PE=4 SV=1 - [D3Z3A9_MOUSE]
Q99PI8,Reticulon-4 receptor OS=Mus musculus GN=Rtn4r PE=2 SV=1 - [RTN4R_MOUSE]
Q8CEE7,Retinol dehydrogenase 13 OS=Mus musculus GN=Rdh13 PE=2 SV=1 - [RDH13_MOUSE]
Q32KG4,Retrotransposon gag domain-containing protein 1 OS=Mus musculus GN=Rgag1 PE=2 SV=1 - [RGAG1_MOUSE]
Q6Y5D8,Rho GTPase-activating protein 10 OS=Mus musculus GN=Arhgap10 PE=1 SV=2 - [RHG10_MOUSE]
Q3UIA2,Rho GTPase-activating protein 17 OS=Mus musculus GN=Arhgap17 PE=2 SV=1 - [RHG17_MOUSE]
P70336,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE]
Q91V93,Rho-related BTB domain-containing protein 2 OS=Mus musculus GN=Rhobtb2 PE=2 SV=2 - [RHBT2_MOUSE]
Q14B46,Rhotekin-2 OS=Mus musculus GN=Rtkn2 PE=2 SV=2 - [RTKN2_MOUSE]
G3UYU5,Ribonuclease P protein subunit p40 OS=Mus musculus GN=Rpp40 PE=4 SV=1 - [G3UYU5_MOUSE]
Q9D7G0,Ribose-phosphate pyrophosphokinase 1 OS=Mus musculus GN=Prps1 PE=1 SV=4 - [PRPS1_MOUSE]
Q9CQF8,"Ribosomal protein 63, mitochondrial OS=Mus musculus GN=Mrpl57 PE=2 SV=1 - [RT63_MOUSE]"
P18653,Ribosomal protein S6 kinase alpha-1 OS=Mus musculus GN=Rps6ka1 PE=1 SV=1 - [KS6A1_MOUSE]
Q9WUT3,Ribosomal protein S6 kinase alpha-2 OS=Mus musculus GN=Rps6ka2 PE=1 SV=1 - [KS6A2_MOUSE]
P18654,Ribosomal protein S6 kinase alpha-3 OS=Mus musculus GN=Rps6ka3 PE=1 SV=2 - [KS6A3_MOUSE]
Q8C050,Ribosomal protein S6 kinase alpha-5 OS=Mus musculus GN=Rps6ka5 PE=1 SV=2 - [KS6A5_MOUSE]
Q8BSK8,Ribosomal protein S6 kinase beta-1 OS=Mus musculus GN=Rps6kb1 PE=1 SV=2 - [KS6B1_MOUSE]
Q9DCA5,Ribosome biogenesis protein BRX1 homolog OS=Mus musculus GN=Brix1 PE=2 SV=3 - [BRX1_MOUSE]
Q99PL5,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2 - [RRBP1_MOUSE]
Q9D6S7,"Ribosome-recycling factor, mitochondrial OS=Mus musculus GN=Mrrf PE=1 SV=1 - [RRFM_MOUSE]"
Q80U40,RIMS-binding protein 2 OS=Mus musculus GN=Rimbp2 PE=1 SV=3 - [RIMB2_MOUSE]
Q8BFU3,RING finger protein 214 OS=Mus musculus GN=Rnf214 PE=2 SV=1 - [RN214_MOUSE]
Q7TT28,RNA exonuclease 1 homolog OS=Mus musculus GN=Rexo1 PE=2 SV=1 - [REXO1_MOUSE]
Q3UKU1,RNA polymerase II elongation factor ELL2 OS=Mus musculus GN=Ell2 PE=2 SV=2 - [ELL2_MOUSE]
B2RY56,RNA-binding protein 25 OS=Mus musculus GN=Rbm25 PE=1 SV=2 - [RBM25_MOUSE]
Q8VH51,RNA-binding protein 39 OS=Mus musculus GN=Rbm39 PE=1 SV=2 - [RBM39_MOUSE]
Q3UE17,RNA-binding protein MEX3D OS=Mus musculus GN=Mex3d PE=2 SV=2 - [MEX3D_MOUSE]
Q920Q6,RNA-binding protein Musashi homolog 2 OS=Mus musculus GN=Msi2 PE=1 SV=1 - [MSI2H_MOUSE]
Q8CJ40,Rootletin OS=Mus musculus GN=Crocc PE=1 SV=2 - [CROCC_MOUSE]
H7BX02,Roquin-1 OS=Mus musculus GN=Rc3h1 PE=1 SV=1 - [H7BX02_MOUSE]
D3Z4M6,Roundabout homolog 3 OS=Mus musculus GN=Robo3 PE=4 SV=1 - [D3Z4M6_MOUSE]
P35550,rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus GN=Fbl PE=2 SV=2 - [FBRL_MOUSE]
Q6P5B0,RRP12-like protein OS=Mus musculus GN=Rrp12 PE=1 SV=1 - [RRP12_MOUSE]
P60122,RuvB-like 1 OS=Mus musculus GN=Ruvbl1 PE=1 SV=1 - [RUVB1_MOUSE]
Q9CQK7,RWD domain-containing protein 1 OS=Mus musculus GN=Rwdd1 PE=1 SV=1 - [RWDD1_MOUSE]
E9PZQ0,Ryanodine receptor 1 OS=Mus musculus GN=Ryr1 PE=1 SV=1 - [RYR1_MOUSE]
E9PW34,Ryanodine receptor 3 OS=Mus musculus GN=Ryr3 PE=4 SV=1 - [E9PW34_MOUSE]
Q9JLC8,Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2 - [SACS_MOUSE]
Q9D1J3,SAP domain-containing ribonucleoprotein OS=Mus musculus GN=Sarnp PE=1 SV=3 - [SARNP_MOUSE]
Q7TQ48,Sarcalumenin OS=Mus musculus GN=Srl PE=1 SV=1 - [SRCA_MOUSE]
Q9EQG3,Sciellin OS=Mus musculus GN=Scel PE=1 SV=2 - [SCEL_MOUSE]
Q99J08,SEC14-like protein 2 OS=Mus musculus GN=Sec14l2 PE=1 SV=1 - [S14L2_MOUSE]
Q8VCA8,Secernin-2 OS=Mus musculus GN=Scrn2 PE=2 SV=1 - [SCRN2_MOUSE]
Q9WU66,Secreted frizzled-related protein 5 OS=Mus musculus GN=Sfrp5 PE=2 SV=1 - [SFRP5_MOUSE]
P47867,Secretogranin-3 OS=Mus musculus GN=Scg3 PE=1 SV=1 - [SCG3_MOUSE]
Q8K021,Secretory carrier-associated membrane protein 1 OS=Mus musculus GN=Scamp1 PE=1 SV=1 - [SCAM1_MOUSE]
E9Q855,Secretory carrier-associated membrane protein 3 OS=Mus musculus GN=Scamp3 PE=1 SV=1 - [E9Q855_MOUSE]
A0A0A0MQE3,Secretory phospholipase A2 receptor OS=Mus musculus GN=Pla2r1 PE=4 SV=1 - [A0A0A0MQE3_MOUSE]
P17563,Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2 - [SBP1_MOUSE]
O09126,Semaphorin-4D OS=Mus musculus GN=Sema4d PE=1 SV=2 - [SEM4D_MOUSE]
Q91ZX6,Sentrin-specific protease 2 OS=Mus musculus GN=Senp2 PE=1 SV=2 - [SENP2_MOUSE]
Q8C1B7,Septin-11 OS=Mus musculus GN=Sept11 PE=1 SV=4 - [SEP11_MOUSE]
G3UYQ0,Septin-2 (Fragment) OS=Mus musculus GN=Sept2 PE=4 SV=1 - [G3UYQ0_MOUSE]
Q9CZN7,Serine hydroxymethyltransferase OS=Mus musculus GN=Shmt2 PE=2 SV=1 - [Q9CZN7_MOUSE]
Q14B24,Serine protease 57 OS=Mus musculus GN=Prss57 PE=2 SV=2 - [PRS57_MOUSE]
Q9R118,Serine protease HTRA1 OS=Mus musculus GN=Htra1 PE=1 SV=2 - [HTRA1_MOUSE]
Q8BYY9,Serine protease inhibitor A3B OS=Mus musculus GN=Serpina3b PE=2 SV=1 - [SPA3B_MOUSE]
P07759,Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2 - [SPA3K_MOUSE]
F6T4M4,Serine/arginine repetitive matrix protein 1 (Fragment) OS=Mus musculus GN=Srrm1 PE=4 SV=1 - [F6T4M4_MOUSE]
